,Unnamed: 0,over,runs,wickets,bat_team,tot_runs,tot_wickets,city,venue,final_score
0,0,1,8,0,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
1,1,2,8,0,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
2,2,3,9,1,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
3,3,4,17,1,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
4,4,5,25,1,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
5,5,6,30,2,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
6,6,7,32,2,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
7,7,8,40,2,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
8,8,9,45,2,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
9,9,10,47,3,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
10,10,11,51,3,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
11,11,12,51,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
12,12,13,59,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
13,13,14,62,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
14,14,15,66,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
15,15,16,70,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
16,16,17,72,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
17,17,18,77,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
18,18,19,83,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
19,19,20,83,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
20,20,21,88,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
21,21,22,89,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
22,22,23,95,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
23,23,24,97,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
24,24,25,101,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
25,25,26,109,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
26,26,27,120,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
27,27,28,127,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
28,28,29,137,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
29,29,30,145,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
30,30,31,149,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
31,31,32,156,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
32,32,33,159,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
33,33,34,166,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
34,34,35,168,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
35,35,36,173,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
36,36,37,185,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
37,37,38,193,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
38,38,39,205,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
39,39,40,223,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
40,40,41,235,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
41,41,42,255,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
42,42,43,266,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
43,43,44,270,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
44,44,45,278,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
45,45,46,289,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
46,46,47,292,6,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
47,47,48,310,7,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
48,48,49,315,8,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
49,49,50,331,8,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
50,50,1,12,0,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
51,51,2,12,0,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
52,52,3,22,0,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
53,53,4,30,0,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
54,54,5,37,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
55,55,6,42,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
56,56,7,43,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
57,57,8,48,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
58,58,9,51,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
59,59,10,68,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
60,60,11,71,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
61,61,12,79,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
62,62,13,86,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
63,63,14,92,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
64,64,15,94,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
65,65,16,95,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
66,66,17,97,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
67,67,18,103,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
68,68,19,109,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
69,69,20,114,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
70,70,21,117,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
71,71,22,131,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
72,72,23,133,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
73,73,24,135,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
74,74,25,151,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
75,75,26,157,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
76,76,27,164,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
77,77,28,176,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
78,78,29,180,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
79,79,30,187,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
80,80,31,189,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
81,81,32,193,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
82,82,33,200,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
83,83,34,207,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
84,84,35,214,3,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
85,85,36,214,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
86,86,37,218,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
87,87,38,223,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
88,88,39,234,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
89,89,40,246,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
90,90,41,257,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
91,91,42,266,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
92,92,43,270,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
93,93,44,282,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
94,94,45,287,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
95,95,46,298,4,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
96,96,47,308,5,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
97,97,48,317,5,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
98,98,49,331,5,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
99,99,50,337,7,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
100,100,1,13,0,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
101,101,2,19,0,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
102,102,3,20,0,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
103,103,4,26,0,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
104,104,5,36,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
105,105,6,48,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
106,106,7,64,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
107,107,8,70,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
108,108,9,78,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
109,109,10,83,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
110,110,11,86,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
111,111,12,97,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
112,112,13,104,1,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
113,113,14,110,2,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
114,114,15,115,2,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
115,115,16,119,2,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
116,116,17,126,2,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
117,117,18,131,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
118,118,19,134,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
119,119,20,139,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
120,120,21,141,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
121,121,22,146,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
122,122,23,149,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
123,123,24,158,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
124,124,25,166,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
125,125,26,169,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
126,126,27,176,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
127,127,28,181,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
128,128,29,186,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
129,129,30,191,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
130,130,31,202,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
131,131,32,211,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
132,132,33,216,3,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
133,133,34,221,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
134,134,35,226,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
135,135,36,234,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
136,136,37,238,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
137,137,38,242,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
138,138,39,255,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
139,139,40,265,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
140,140,41,269,4,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
141,141,42,276,5,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
142,142,43,277,6,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
143,143,44,279,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
144,144,45,281,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
145,145,46,287,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
146,146,47,300,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
147,147,48,307,7,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
148,148,49,309,8,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
149,149,50,317,9,Asia XI,317,9,Bangalore,M Chinnaswamy Stadium,317/9
150,150,1,8,0,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
151,151,2,8,0,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
152,152,3,9,1,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
153,153,4,17,1,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
154,154,5,25,1,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
155,155,6,30,2,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
156,156,7,32,2,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
157,157,8,40,2,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
158,158,9,45,2,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
159,159,10,47,3,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
160,160,11,51,3,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
161,161,12,51,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
162,162,13,59,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
163,163,14,62,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
164,164,15,66,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
165,165,16,70,4,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
166,166,17,72,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
167,167,18,77,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
168,168,19,83,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
169,169,20,83,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
170,170,21,88,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
171,171,22,89,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
172,172,23,95,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
173,173,24,97,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
174,174,25,101,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
175,175,26,109,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
176,176,27,120,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
177,177,28,127,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
178,178,29,137,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
179,179,30,145,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
180,180,31,149,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
181,181,32,156,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
182,182,33,159,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
183,183,34,166,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
184,184,35,168,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
185,185,36,173,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
186,186,37,185,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
187,187,38,193,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
188,188,39,205,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
189,189,40,223,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
190,190,41,235,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
191,191,42,255,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
192,192,43,266,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
193,193,44,270,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
194,194,45,278,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
195,195,46,289,5,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
196,196,47,292,6,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
197,197,48,310,7,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
198,198,49,315,8,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
199,199,50,331,8,Asia XI,331,8,Chennai,"MA Chidambaram Stadium, Chepauk",331/8
200,200,1,12,0,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
201,201,2,12,0,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
202,202,3,22,0,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
203,203,4,30,0,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
204,204,5,37,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
205,205,6,42,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
206,206,7,43,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
207,207,8,48,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
208,208,9,51,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
209,209,10,68,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
210,210,11,71,1,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
211,211,12,79,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
212,212,13,86,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
213,213,14,92,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
214,214,15,94,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
215,215,16,95,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
216,216,17,97,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
217,217,18,103,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
218,218,19,109,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
219,219,20,114,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
220,220,21,117,2,Asia XI,337,7,Chennai,"MA Chidambaram Stadium, Chepauk",337/7
